Occurrences	Hindawi (5594310)	Giga (5594256)	lemma#pos	Gloss	Answer1 - Egyptian	Answer2 - Syrian	Answer3 - Saudi Arabian	readability (rounded average)
199	91.46%	8.54%	أَعْرَض#verb	avoid	3	4	4	4
199	40.70%	59.30%	ٱِحْتِيال#noun	fraud;deception;cheating	3	2	3	3
199	75.88%	24.12%	إِرْث#noun	inheritance;heritage;legacy	4	3	3	3
199	62.81%	37.19%	جُمُوع#noun	crowds;masses	4	3	3	3
199	95.98%	4.02%	حُسام#noun	sword	4	5	5	5
199	64.82%	35.18%	حَمِيم#noun	close_friend;intimate#close_friends;intimates	4	3	4	4
199	51.76%	48.24%	عَيْنِيّ#adj	ocular;eye;real	3	3	2	3
199	19.10%	80.90%	مُحاضَرَة#noun	lecture	4	4	3	4
199	9.55%	90.45%	مُهْلَة#noun	delay;respite;extension	3	2	3	3
199	82.91%	17.09%	آمِر#noun	commander;commandant	4	4	3	4
199	97.49%	2.51%	أَكَمَة#noun	hill;reef;heap#hills;reefs;heaps	5	5	5	5
199	78.39%	21.61%	ٱِسْتَأْجَر#verb	hire;rent	3	3	2	3
199	48.74%	51.26%	ٱِقْتِناع#noun	belief;conviction	3	3	2	3
199	79.40%	20.60%	قَيْرَوان#noun	caravan	4	5	5	5
199	98.49%	1.51%	كَلِيم#noun	spokesman#wounded#spokesmen	5	5	5	5
199	0.50%	99.50%	مُفاوِض#noun	negotiator	4	4	4	4
199	29.15%	70.85%	ناشَد#verb	urge;implore	4	4	4	4
199	98.49%	1.51%	وَحْشَة#noun	loneliness;desolation	4	3	3	3
198	57.07%	42.93%	ٱِخْتِفاء#noun	disappearance	2	2	1	2
198	1.01%	98.99%	ٱِسْتِضافَة#noun	hosting	3	2	2	2
198	25.76%	74.24%	خَلَل#noun	fault;malfunction;gap	3	3	2	3
198	24.24%	75.76%	خَلِيج#noun	gulfs#gulf	3	4	3	3
198	8.08%	91.92%	دِعايَة#noun	propaganda;advertising	3	2	3	3
198	69.70%	30.30%	غِلاف#noun	cover	1	1	2	1
198	69.19%	30.81%	قَوْس#noun	bow;arch;vault#bows;arches;vaults#parentheses	1	1	2	1
198	56.57%	43.43%	كامِن#adj	hidden;secret;latent	5	4	5	5
198	54.04%	45.96%	كِفايَة#noun	sufficiency;competence	1	1	2	1
198	44.44%	55.56%	مُمْتَدّ#adj	stretching;spreading;extending	4	3	4	4
198	28.79%	71.21%	مَنْفَى#noun	places_of_exile;banishment#exile;banishment	4	4	4	4
198	24.75%	75.25%	هَزَم#verb	be_defeated#defeat	2	1	1	1
198	2.02%	97.98%	أَغْلَبِيّ#adj	majority	5	5	4	5
198	76.26%	23.74%	بَسْط#noun	spreading;extension	4	4	4	4
198	79.29%	20.71%	جَلِيل#adj	venerable;important	3	3	2	3
198	62.12%	37.88%	وَطْأَة#noun	pressure;coercion;vehemence	5	4	4	4
197	0.51%	99.49%	إِعْمار#noun	building;construction#populating;renovation	4	3	3	3
197	54.31%	45.69%	تَخَلَّف#verb	be_late;be_tardy;fall_behind	3	4	4	4
197	78.68%	21.32%	خِزانَة#noun	vaults;lockers;coffers#treasury;vault;coffer	2	1	2	2
197	66.50%	33.50%	خِلْو#noun	devoid;free	4	4	3	4
197	22.34%	77.66%	رافِع#adj	lifting;hoisting	1	2	1	1
197	65.48%	34.52%	زَوال#noun	disappearance;cessation	1	2	2	2
197	67.01%	32.99%	فَتْحَة#noun	opening;porthole	1	1	1	1
197	4.06%	95.94%	كَرْز#noun	preaching;spreading#sermon	5	5	1	4
197	16.24%	83.76%	مُنْفَصِل#adj	separate;detached	2	2	1	2
197	39.59%	60.41%	أَعْقَب#verb	follow;pursue#be_followed;be_pursued	4	5	4	4
197	82.74%	17.26%	أَقْوَى#verb	be_desolate	5	5	5	5
197	58.88%	41.12%	ٱِسْتَقَلّ#verb	be_independent;be_autonomous	4	3	3	3
197	0.00%	100.00%	تَوْعِيَة#noun	making_aware;enlightening;raising_awareness	4	3	3	3
197	94.92%	5.08%	ظُنُون#noun	suppositions	4	4	3	4
197	14.72%	85.28%	عَلَنِيّ#adj	public	4	3	3	3
197	28.93%	71.07%	مُتَواضِع#adj	humble;modest	3	2	3	3
197	78.68%	21.32%	هَجَر#verb	emigrate;leave	4	3	4	4
196	85.20%	14.80%	أَصْلَح#verb	put_in_order;repair#be_put_in_order;be_repaired	2	1	2	2
196	1.02%	98.98%	تَأْشِير#noun	visa;mark	4	5	5	5
196	12.24%	87.76%	تَدَفُّق#noun	outpour;effusion;outburst	3	3	2	3
196	77.04%	22.96%	جَحِيم#noun	hell;inferno	2	2	1	2
196	89.80%	10.20%	حَسَد#noun	envy	1	2	1	1
196	54.59%	45.41%	شَغْل#noun	occupying;filling_(work_position)	4	4	3	4
196	58.67%	41.33%	قَمْح#noun	wheat	1	1	2	1
196	14.80%	85.20%	كَثافَة#noun	density;compactness	4	3	4	4
196	95.41%	4.59%	نُعاس#noun	sleepiness;lethargy	2	1	1	1
196	86.22%	13.78%	ٱِخْتَبَأ#verb	hide;disappear;be_hidden	1	1	1	1
196	86.73%	13.27%	راق#verb	please;be_pure;surpass#shine;glisten	5	4	5	5
196	97.45%	2.55%	رَفِيقَة#noun	woman_companion;mistress	2	1	2	2
196	56.63%	43.37%	زَوْجِيّ#adj	marital;paired	2	2	1	2
196	83.67%	16.33%	عَدَل#verb	act_justly	1	2	2	2
196	40.82%	59.18%	عَوَّض#verb	replace;compensate	4	3	3	3
196	80.10%	19.90%	فَضّ#noun	dispersal;separation	5	5	5	5
196	97.96%	2.04%	لُقْيا#noun	encounter	4	4	3	4
196	85.71%	14.29%	مَأْخَذ#noun	source;method;procedure#sources;references	5	4	4	4
196	1.02%	98.98%	مَبْعُوث#noun	envoy;representative	4	5	4	4
196	95.92%	4.08%	هِياج#noun	disturbance;agitation;commotion	5	4	5	5
195	81.03%	18.97%	أَبَدِيّ#adj	eternal;infinite	4	3	3	3
195	93.85%	6.15%	أَحْسَن#adj	best;beauty#beauty;belle	1	1	1	1
195	33.85%	66.15%	ٱِصْطَدَم#verb	collide;crash	3	2	2	2
195	6.67%	93.33%	ٱِنْعِكاس#noun	reflection;inversion;repercussion	3	3	3	3
195	2.56%	97.44%	صَحْراوِيّ#adj	desert;Saharan	3	3	2	3
195	59.49%	40.51%	عَدَّل#verb	rectify;modify;alter#be_rectified;be_modified;be_altered	4	4	3	4
195	86.67%	13.33%	عَشِيق#noun	lover	3	3	2	3
195	19.49%	80.51%	مُعَقَّد#adj	complicated;intricate	3	2	3	3
195	41.03%	58.97%	نَفْي#noun	denial;disavowal	3	3	2	3
195	88.72%	11.28%	أَمّ#verb	visit;gather_at;congregate_at	3	4	4	4
195	0.51%	99.49%	ٱِقْتِصادِيّ#noun	economist	3	3	3	3
195	79.49%	20.51%	شَبّ#verb	grow_up;burn#kindle	4	3	4	4
195	95.38%	4.62%	فَتْك#noun	destruction;annihilation	5	4	4	4
195	0.51%	99.49%	مُتَفَجِّر#noun	explosives	2	1	2	2
194	77.32%	22.68%	أَكْبَر#verb	magnify#be_magnified	4	4	3	4
194	80.41%	19.59%	أَهْمَل#verb	neglect;overlook;forget#be_neglected;be_overlooked;be_forgetten#be_neglected;be_overlooked;be_forgotten	2	1	2	2
194	30.41%	69.59%	ٱِبْتِداء#noun	beginning;start	3	2	2	2
194	14.95%	85.05%	رَشَّح#verb	nominate;appoint_as_candidate#be_nominated;be_appointed_as_candidate	3	3	4	3
194	90.21%	9.79%	قَبِيح#adj	ugly;repulsive;insolent	2	1	2	2
194	80.41%	19.59%	نَقْش#noun	paintings;engravings;sculptures#painting;engraving;sculpture	3	2	2	2
194	98.97%	1.03%	تِلِغراف#noun	telegraph;telegram	5	5	4	5
194	58.76%	41.24%	حَدّاد#noun	ironsmith;blacksmith	1	1	2	1
194	96.91%	3.09%	خاطِب#noun	speaking;addressing	4	5	4	4
194	43.30%	56.70%	قَوِيّ#noun	strong;powerful	1	2	1	1
194	80.41%	19.59%	كَسَر#verb	break;defeat	1	1	1	1
193	84.46%	15.54%	ٱِسْتَرَدّ#verb	recover;reclaim;regain	3	3	2	3
193	53.37%	46.63%	تَرْحِيب#noun	welcoming;greeting	1	1	2	1
193	86.53%	13.47%	جاوَز#verb	pass;exceed	4	4	3	4
193	33.68%	66.32%	جَدُر#verb	be_suitable;behoove	4	5	5	5
193	51.30%	48.70%	عُقْدَة#noun	complex	4	4	3	4
193	52.85%	47.15%	مُتَزَوِّج#adj	married	2	1	1	1
193	54.40%	45.60%	مَثِيل#noun	equal;match;peer	4	3	3	3
193	44.56%	55.44%	وَحْشِيّ#adj	brutal;savage	1	2	2	2
193	87.05%	12.95%	ٱِنْكَشَف#verb	be_removed;be_uncovered;be_revealed	4	3	3	3
193	90.67%	9.33%	إِصْغاء#noun	attentiveness;listening	3	3	2	3
193	31.61%	68.39%	باشَر#verb	embark_upon;proceed	4	3	4	4
193	96.89%	3.11%	بِطْرِيق#noun	patrician;penguin#patricians;penguins	1	1	1	1
193	36.79%	63.21%	تَحَمُّل#noun	assumption;bearing;duties	1	2	2	2
193	86.01%	13.99%	حَسَنَة#noun	good_deed;merit#good_deeds;merits	1	1	1	1
193	7.77%	92.23%	حُقُوقِيّ#adj	juristical#jurisprudent;jurist	5	5	4	5
193	0.00%	100.00%	رالِي#noun	rally#rallies	5	5	5	5
193	2.07%	97.93%	مُكَوَّن#adj	composed_of;consisting_of	1	2	2	2
193	84.46%	15.54%	مَنْ#pron_interrog	who/whom	2	1	2	2
193	54.92%	45.08%	مَهَّد#verb	pave;prepare;facilitate	4	4	4	4
192	59.38%	40.63%	بُغْيَة#noun	wish	4	4	5	4
192	78.13%	21.88%	بَهْجَة#noun	splendor;delight	3	3	2	3
192	68.75%	31.25%	جِنايَة#noun	crime;felony#crimes;felonies	3	4	4	4
192	71.88%	28.13%	ضَجِيج#noun	noise;tumult	2	1	2	2
192	42.19%	57.81%	قاطِع#adj	decisive;definitive;convincing;conclusive	4	4	4	4
192	95.83%	4.17%	غِبْطَة#noun	happiness;delight	5	4	4	4
192	81.25%	18.75%	كَنّ#verb	conceal;hide;harbor	5	4	5	5
192	34.38%	65.63%	مُصَلِّي#noun	people_praying;people_worshipping#person_praying;person_worshipping	2	2	1	2
191	68.59%	31.41%	تَدَفَّق#verb	pour_out;rush_out;burst_out	3	3	2	3
191	28.80%	71.20%	سُنَّة#noun	customary_procedure;orthodox_(Sunni)_Islam#customary_procedures;orthodox_(Sunni)_Islam	2	2	3	2
191	78.53%	21.47%	ضِياء#noun	light;glow	3	3	2	3
191	8.90%	91.10%	عادِي#adj	aggressive;hostile	5	5	4	5
191	79.58%	20.42%	عُرْس#noun	wedding	3	2	2	2
191	3.66%	96.34%	فاعِلِيَّة#noun	effectiveness;activity#activities	4	3	4	4
191	6.28%	93.72%	فَتْوَى#noun	fatwa;legal_opinion#fatwas;legal_opinions	4	3	3	3
191	75.39%	24.61%	فَزَع#noun	fear;fright	3	2	2	2
191	71.20%	28.80%	لُغْز#noun	mysteries;enigmas;riddles#mystery;enigma;riddle	2	1	2	2
191	23.56%	76.44%	مُتَفَرِّج#noun	spectator;onlooker	2	2	1	2
191	56.02%	43.98%	ٱِسْتِطاعَة#noun	capability;possibility	3	3	2	3
191	98.95%	1.05%	بَسَم#verb	smile	4	4	3	4
191	61.78%	38.22%	طَوْق#noun	circle;collar	1	1	1	1
191	91.62%	8.38%	لَمَع#verb	shine;glitter	2	1	1	1
191	10.99%	89.01%	مَحْظُور#adj	banned;prohibited;forbidden	4	4	3	4
191	12.04%	87.96%	ناتِج#adj	resulting_from;ensuing	3	3	3	3
191	92.67%	7.33%	هانِم#noun	lady;madame;Lady#ladies	1	2	2	2
190	85.79%	14.21%	آخِرَة#noun	hereafter	2	1	2	2
190	67.37%	32.63%	أَخَصّ#adj_comp	more_specific	4	3	3	3
190	54.74%	45.26%	أَرِيكَة#noun	sofas;beds#sofa;bed	2	1	1	1
190	57.89%	42.11%	حَطَّم#verb	smash;demolish	2	2	2	2
190	17.37%	82.63%	شَبابِيّ#adj	youthful;juvenile	4	3	3	3
190	54.74%	45.26%	عاتِق#noun	shoulder	5	5	4	5
190	25.79%	74.21%	غُمُوض#noun	vagueness;obscurity;lack_of_clarity	3	2	3	3
190	19.47%	80.53%	فِقْدان#noun	loss;bereavement	3	3	2	3
190	89.47%	10.53%	مُحْزِن#adj	grievous;tragic	2	2	1	2
190	94.74%	5.26%	مَنام#noun	dream#sleep;dormitory	3	2	3	3
190	73.16%	26.84%	مُنْتَهَى#noun	utmost;extreme;terminated	4	4	4	4
190	27.89%	72.11%	أَبْرَم#verb	conclude;ratify#be_concluded;be_ratified	4	4	5	4
190	93.68%	6.32%	أَحَبّ#adj_comp	dearer/dearest;more/most_beloved/desirable	1	2	1	1
190	18.95%	81.05%	أَرْجَأ#verb	postpone;delay;defer#be_postponed;be_delayed;be_deferred	4	4	5	4
190	54.21%	45.79%	أُسّ#noun	exponent;basis	4	5	5	5
190	80.53%	19.47%	أَفْلَت#verb	escape;release#be_released	3	2	2	2
190	2.63%	97.37%	ٱِنْفِصالِيّ#adj	separatist;schismatic	4	4	3	4
190	31.58%	68.42%	قافِلَة#noun	convoys;columns#convoy;column	3	2	3	3
190	2.63%	97.37%	مُؤَجَّل#adj	postponed;delayed	4	3	3	3
190	3.68%	96.32%	مُوَقَّت#adj	temporary;provisional	4	4	3	4
190	1.58%	98.42%	ناقِلَة#noun	transport;tanker;carrier#transports;tankers;carriers	4	4	3	4
189	62.96%	37.04%	أَضْعَف#adj_comp	weaker/weakest	1	1	1	1
189	5.82%	94.18%	تَعْداد#noun	counting;enumeration;calculation	3	3	3	3
189	92.06%	7.94%	حَيْثُما#adv_rel	wherever	4	3	3	3
189	94.71%	5.29%	ٱِبْتَغَى#verb	desire;want#be_desired;be_wanted	4	4	3	4
189	10.05%	89.95%	ٱِحْتَجَز#verb	confiscate;hold_captive;reserve#be_confiscated;be_held_captive;be_reserved;be_allocated	3	3	2	3
189	22.75%	77.25%	تَلَقِّي#noun	receiving;receipt;acquisition	4	4	3	4
189	66.67%	33.33%	سَراي#noun	palace	5	5	5	5
189	46.03%	53.97%	صاعِد#adj	ascending;rising;going_up	3	3	2	3
189	92.59%	7.41%	عَجَّل#verb	expedite	4	3	3	3
189	97.88%	2.12%	غَمّ#noun	affliction;distress	5	4	4	4
189	50.26%	49.74%	قَرِينَة#noun	linkage;connections#wife	5	4	4	4
189	83.60%	16.40%	مَسَك#verb	seize;hold#be_seized;be_held#hold;seize;catch;grab	1	1	1	1
189	96.83%	3.17%	هَرْوَل#verb	walk_fast;hurry	4	3	3	3
188	18.09%	81.91%	بَدَنِيّ#adj	physical;bodily	3	3	2	3
188	46.28%	53.72%	دَجاج#noun	chickens;poultry;fowl#chicken;hen	1	1	1	1
188	74.47%	25.53%	رِئَة#noun	lung	1	2	2	2
188	44.15%	55.85%	زَوَّد#verb	supply;provide	1	2	1	1
188	0.53%	99.47%	شَعْبِيَّة#noun	popularity	4	3	4	4
188	76.60%	23.40%	مُزْعِج#adj	annoying;troublesome	1	1	1	1
188	0.53%	99.47%	مُعادَلَة#noun	equalizing;balancing	4	4	4	4
188	22.34%	77.66%	نَظَرِيّ#adj	theoretical;speculative#theoretician	4	4	4	4
188	100.00%	0.00%	أَسَفاه#noun	[voc.part.]_+_too_bad!;how_unfortunate!_+_[voc.part.]#too_bad!;how_unfortunate!_+_[voc.part.]	4	3	4	4
188	11.17%	88.83%	أَطاح#verb	overthrow;topple#be_overthrown;be_toppled	4	4	3	4
188	92.02%	7.98%	أَقْصَى#verb	remove	4	4	4	4
188	87.23%	12.77%	بِيعَة#noun	church;synagogue	5	5	5	5
188	95.74%	4.26%	جَفاء#noun	harshness	4	4	4	4
188	90.96%	9.04%	سَرَح#verb	go_away;roam_freely	1	2	1	1
188	78.72%	21.28%	هَيِّن#noun	light;easy;insignificant	5	4	5	5
187	64.17%	35.83%	أَشاع#verb	divulge;publicize#be_divulged;be_publicized	4	4	4	4
187	4.81%	95.19%	إِحالَة#noun	transfer;remittance	4	5	4	4
187	52.94%	47.06%	بَراعَة#noun	skill;proficiency	3	2	3	3
187	3.21%	96.79%	تَصْحِيح#noun	correction	1	1	1	1
187	27.81%	72.19%	تَهْيِئَة#noun	preparation;mobilization	4	4	3	4
187	95.19%	4.81%	جِنّ#noun	demon;jinn	1	1	1	1
187	77.01%	22.99%	رِيبَة#noun	doubt;suspicion#doubts;suspicions	4	4	4	4
187	44.92%	55.08%	زَرَع#verb	plant;implant;cultivate	1	1	1	1
187	90.91%	9.09%	سِتارَة#noun	veil;curtain;cover	1	2	1	1
187	26.20%	73.80%	فَدّان#noun	yokes_of_oxen#feddan_(4.2_sq.m.,_Ar.Eg.Sud.;_5.7_sq.m_Lev.)#feddans_(1_feddan_=_4.2_sq.m.,_Ar.Eg.Sud.;_5.7_sq.m_Lev.)	3	4	4	4
187	72.19%	27.81%	كَمّ#noun	amount;quantity	4	3	3	3
187	85.56%	14.44%	نَمِر#noun	tiger;leopard;panther#clean;wholesome#tigers;leopards;panthers	1	1	1	1
187	79.68%	20.32%	وَهْلَة#noun	moment;instant	4	3	4	4
187	98.93%	1.07%	ٱِقْشَعَرّ#verb	tremble;shudder;get_goose_bumps	4	4	3	4
187	11.76%	88.24%	ٱِلْتَحَق#verb	enroll;enlist;be_attached	3	4	4	4
187	49.73%	50.27%	بَرَّأ#verb	be_absolved;be_exonerated;be_pardoned#absolve;exonerate;pardon	4	5	4	4
187	77.01%	22.99%	جَرَّب#verb	test;try;attempt	1	1	1	1
187	90.37%	9.63%	صَمَت#verb	be_silent;be_quiet	2	2	1	2
187	91.98%	8.02%	فَحَص#verb	examine;scrutinize;investigate#search	3	2	3	3
187	49.73%	50.27%	مُجْتَمِع#adj	assembling	4	3	3	3
187	88.77%	11.23%	مُحْدِق#adj	imminent	5	4	5	5
187	80.75%	19.25%	مُعْتَصِم#noun	seeking_refuge;resorting_to	5	5	5	5
186	53.76%	46.24%	ٱِسْتَمْتَع#verb	enjoy;relish	2	1	1	1
186	46.24%	53.76%	إِيصال#noun	connection;transportation;transmission	4	4	3	4
186	2.69%	97.31%	سَرَطان#noun	cancer	1	2	2	2
186	94.09%	5.91%	طِباع#noun	temperament	4	4	3	4
186	64.52%	35.48%	مانِع#noun	obstacles;impediments#obstacle;impediment	2	2	1	2
186	4.84%	95.16%	مُحْتَوَى#noun	contents#content	4	3	3	3
186	17.74%	82.26%	مُسْتَقِرّ#adj	stable;permanent#settled;at_ease	4	3	4	4
186	83.33%	16.67%	أَسْنَد#verb	support;attribute;ascribe	4	5	4	4
186	99.46%	0.54%	تَشاغَل#verb	keep_busy;be_occupied	5	5	4	5
186	77.96%	22.04%	جِدَّة#noun	newness	4	5	5	5
186	89.78%	10.22%	جَلّاد#noun	leather_merchant	4	5	5	5
186	65.05%	34.95%	حَنِين#noun	yearning;nostalgia	2	3	3	3
186	24.73%	75.27%	صادَق#verb	befriend	5	4	5	5
186	76.88%	23.12%	عارِف#noun	connoisseur;knowledgeable_person	1	2	2	2
186	97.85%	2.15%	مُسْرِع#adj	hastily	3	2	3	3
186	30.65%	69.35%	ناشِئ#adj	growing;arising;resulting	4	3	4	4
185	89.19%	10.81%	أَصْدَق#adj_comp	truer/truest;more/most_reliable	2	1	2	2
185	56.22%	43.78%	تُرْبَة#noun	dust;ground#grave;graveyard	1	1	1	1
185	7.57%	92.43%	حَسَم#verb	cut_off;finish;discount#be_cut_off;be_finished;be_discounted	4	3	4	4
185	63.78%	36.22%	ذَخِيرَة#noun	ammunition;treasure;provisions	3	3	4	3
185	81.08%	18.92%	سَماوِيّ#adj	heavenly;celestial	3	3	2	3
185	14.05%	85.95%	كِفاح#noun	struggle;battle	4	3	3	3
185	1.08%	98.92%	مُتَطَوِّر#adj	developed;advanced;sophisticated	3	2	2	2
185	5.95%	94.05%	مُرْتَقَب#adj	expected;anticipated	5	4	4	4
185	35.14%	64.86%	مَعْلُوم#adj	known	3	2	3	3
185	77.30%	22.70%	ٱِجْتَهَد#verb	work_hard;strive	2	1	2	2
185	94.59%	5.41%	شاخِص#adj	fixed;looming	5	5	5	5
185	87.57%	12.43%	غَصّ#verb	be_congested;be_crowded	5	4	5	5
185	86.49%	13.51%	فُوه#noun	mouths#mouth	5	5	5	5
185	84.86%	15.14%	كَرّ#verb	recur	5	5	5	5
185	94.05%	5.95%	كَهْل#noun	middle-aged	4	3	4	4
185	89.73%	10.27%	كَيْد#noun	stratagem;ruse	4	3	4	4
185	95.68%	4.32%	لَعَن#verb	curse;damn	3	2	2	2
185	93.51%	6.49%	مُرَصَّع#adj	adorned;inlaid	5	4	4	4
185	0.00%	100.00%	مُصَدِّر#adj	exporting	4	4	4	4
184	1.63%	98.37%	آنَذاك#adv	then;at_that_time	4	3	3	3
184	53.26%	46.74%	ٱِسْتَوْجَب#verb	require;make_necessary	4	4	3	4
184	79.35%	20.65%	ساحِر#adj	charming;enchanting	1	2	1	1
184	55.43%	44.57%	ضِلْع#noun	ribs;sides#rib;side	4	4	3	4
184	46.74%	53.26%	فِضِّيّ#adj	silver	1	1	2	1
184	5.98%	94.02%	ناجِم#adj	originating;arising;derived	4	4	5	4
184	35.87%	64.13%	وِقايَة#noun	precaution;prevention;protection	3	2	2	2
184	30.43%	69.57%	مُتَأَثِّر#adj	because_of;due_to;as_a_result_of	5	5	4	5
184	90.22%	9.78%	مَرْأَى#noun	sight;view;apparition	5	4	4	4
184	100.00%	0.00%	نَهْض#noun	awakening;growth	4	4	3	4
184	36.96%	63.04%	وِسام#noun	badge;decoration#badges;decorations	2	1	2	2
183	83.61%	16.39%	أَزْرَق#adj	blue	1	1	1	1
183	38.25%	61.75%	ٱِنْعَقَد#verb	be_held;be_gathered;be_convened	4	3	4	4
183	53.01%	46.99%	تَعَذَّر#verb	be_excused;be_forgiven	3	3	2	3
183	3.83%	96.17%	جالِيَة#noun	expatriate_community;colony#expatriate_communities;colonies	4	4	4	4
183	73.77%	26.23%	جِدال#noun	debate;quarrel	4	4	3	4
183	67.21%	32.79%	حارّ#adj	hot;fervent	1	1	1	1
183	15.30%	84.70%	حُقْب#noun	long_periods#long_period	4	5	5	5
183	3.83%	96.17%	رافِض#adj	rejecting;refusing	1	2	1	1
183	0.55%	99.45%	فائِض#noun	surplus;overflow#interest	4	4	5	4
183	66.67%	33.33%	مُحْدَث#adj	modern;new	5	5	4	5
183	100.00%	0.00%	ٱِمْتَقَع#verb	turn_pale	5	5	5	5
183	16.39%	83.61%	إِخْفاق#noun	failure;fiasco	4	3	4	4
183	77.60%	22.40%	باهِر#adj	dazzling;splendid	3	3	4	3
183	92.35%	7.65%	تَنَكُّر#noun	disguise;masquerade	2	1	2	2
183	96.72%	3.28%	جَنّ#verb	conceal;become_dark	4	5	5	5
183	35.52%	64.48%	شَكَّك#verb	make_doubt;give_suspicions	4	4	3	4
183	0.55%	99.45%	مُجَدِّد#adj	renovating;reforming	3	3	2	3
183	2.73%	97.27%	مُشارِك#adj	participating	2	2	1	2
183	50.82%	49.18%	نَزْعَة#noun	inclination;tendency;trend#inclinations;tendencies;trends	5	4	5	5
182	37.91%	62.09%	أُسْطُورَة#noun	myth;legend;tale#myths;legends;tales	3	2	2	2
182	87.36%	12.64%	بَصِير#noun	seeing;discerning	3	3	4	3
182	90.66%	9.34%	بَياض#noun	whiteness	1	2	1	1
182	15.38%	84.62%	حَيِّز#noun	scope;domain;sphere	3	4	3	3
182	57.69%	42.31%	عِطْر#noun	perfume	2	1	1	1
182	10.44%	89.56%	مُقاوِل#noun	contractor	4	5	4	4
182	95.05%	4.95%	أَنَى#noun	time;period	5	5	5	5
182	18.68%	81.32%	دامِي#adj	bloody	4	3	3	3
182	67.03%	32.97%	عَرّاب#noun	sponsor;translator	5	5	5	5
182	59.89%	40.11%	مَسْلَك#noun	road;method;course_of_action	4	4	4	4
182	81.32%	18.68%	مُلْقَى#adj	discarded;thrown;cast	3	2	2	2
182	97.25%	2.75%	نَذْر#noun	vows;pledges#vow;pledge	5	5	4	5
182	79.67%	20.33%	نَهَب#verb	plunder;loot	4	4	4	4
182	15.38%	84.62%	يِن#noun	yen	5	5	4	5
181	4.97%	95.03%	أَرْضِيَّة#noun	background;groundwork	1	1	2	1
181	4.97%	95.03%	ٱِسْتِيعاب#noun	comprehension;assimilation;containing	3	3	3	3
181	89.50%	10.50%	إِناء#noun	vessel;container;receptacle#vessels;containers;receptacles	3	2	2	2
181	0.00%	100.00%	تَنْمَوِيّ#adj	developmental;growth-related	4	4	3	4
181	7.18%	92.82%	تَيْسِير#noun	facilitation	4	3	3	3
181	66.30%	33.70%	عَتِيق#adj	old;aged	4	3	4	4
181	92.27%	7.73%	عَنان#noun	heights;clouds	4	5	4	4
181	35.91%	64.09%	غُفْران#noun	forgiveness;atonement	3	3	2	3
181	0.00%	100.00%	مُتَطَلَّب#noun	requirements	4	3	4	4
181	16.57%	83.43%	مُصادَقَة#noun	approval;certification	5	5	5	5
181	74.59%	25.41%	أَقْصَر#adj_comp	shorter/shortest	1	1	1	1
181	91.16%	8.84%	تَعَجَّب#verb	be_amazed;be_astonished	1	2	1	1
181	98.34%	1.66%	تَوَسَّم#verb	be_characterized;scrutinize	4	5	4	4
181	12.15%	87.85%	مُضاعَفَة#noun	doubling;compounding	4	4	3	4
180	53.33%	46.67%	ٱِقْتَحَم#verb	assault;storm;burst_into	3	3	3	3
180	53.89%	46.11%	إِنْسانِيَّة#noun	humanity#humanities;liberal_arts	4	3	3	3
180	57.22%	42.78%	حافِل#adj	filled;numerous	3	3	4	3
180	22.78%	77.22%	حَرام#adj	sacred;holy	1	2	2	2
180	68.89%	31.11%	حَكِيم#adj	wise;sage	3	2	2	2
180	63.89%	36.11%	خُلاصَة#noun	gist;synopsis;summary	1	2	2	2
180	88.89%	11.11%	دُرْج#noun	desk_drawers	1	1	1	1
180	96.11%	3.89%	صَنَم#noun	idol;image	2	1	2	2
180	70.56%	29.44%	فَلاح#noun	prosperity;success	4	3	4	4
180	12.78%	87.22%	مُدِيرِيَّة#noun	district;province#administration;management	4	3	4	4
180	16.67%	83.33%	مُسْتَحِقّ#adj	deserving;entitled	5	4	5	5
180	34.44%	65.56%	وَضَّح#verb	clarify;explain;indicate	2	2	1	2
180	88.33%	11.67%	أَغَرّ#noun	esteemed	4	4	5	4
180	46.67%	53.33%	ٱِحْتَجّ#verb	protest	3	3	3	3
180	92.78%	7.22%	ٱِسْتَبْشَر#verb	rejoice;welcome	4	4	3	4
180	0.00%	100.00%	إِطاحَة#noun	overthrow;topple	4	5	4	4
180	96.67%	3.33%	تَعَقُّل#noun	prudence;judiciousness	4	4	4	4
180	30.00%	70.00%	عَدّاء#noun	runner	4	4	3	4
180	45.56%	54.44%	قاضِي#adj	decreeing;ordaining;executing;performing	4	4	5	4
180	78.89%	21.11%	مُلَثَّم#adj	masked;veiled	3	2	2	2
179	82.12%	17.88%	ٱِدَّخَر#verb	store;hoard;save	3	3	2	3
179	3.35%	96.65%	ٱِنْتِداب#noun	appointing;commissioning;deputation;dedication#mandate;mandatory_rule	5	4	5	5
179	72.63%	27.37%	بَطِيء#adj	slow;tardy	1	1	1	1
179	58.66%	41.34%	جُمُود#noun	freezing;inertia;deadlock	4	4	3	4
179	40.22%	59.78%	حاصَر#verb	besiege;encircle;blockade;surround#be_besieged;be_encircled;be_blockaded;be_surrounded	3	3	3	3
179	73.74%	26.26%	سَهَر#noun	sleeplessness;night_without_sleep	1	1	1	1
179	32.40%	67.60%	طَقْس#noun	rituals;rites#weather;climate	4	4	3	4
179	56.98%	43.02%	طَيّ#noun	concealment;hiding#inside	4	5	5	5
179	2.23%	97.77%	عِرْقِيّ#adj	ethnic;racial	5	4	4	4
